카드명,소개,카드타입,카테고리
My WE:SH+ 카드,'나'를 위한 더 많은 혜택,신용카드,음식_카페
My WE:SH 카드,'나'의 행복을 위한 필수 혜택 카드,신용카드,음식_카페
청춘대로 톡톡카드,Simple하게 즐기자! 혜택 톡톡!,신용카드,음식_카페
다담카드(비 OTP),"KB국민 훈민정음 두번째 이야기, 모두의 이야기를 담은 카드",신용카드,음식_카페
CU KB국민카드,CU 할인! 한번에 빠르고 쉽게~,신용카드,음식_카페
톡톡 with카드,,신용카드,음식_카페
Easy on카드,"Food on, Music on, Shopping on 모두 할인 Easy on!",신용카드,음식_카페
요기패스 신용카드(가로형),구독료 부담은 No! 요기패스 혜택은 Yes!,신용카드,음식_카페
랭킹닭컴 신용카드,랭킹은 알고 있다!!,신용카드,음식_카페
마이핏카드(할인형),#외식 #편의점 #마트 #주유 #통신 #쇼핑 #배달,신용카드,음식_카페
K-패스카드,교통비 SAVE!! 생활서비스 할인 혜택까지~,신용카드,주유_교통
에버온 EV 카드,전기차 이용자라면 꼭 필요한!,신용카드,주유_교통
EV 카드,전기차 이용자라면 꼭 필요한!,신용카드,주유_교통
기후동행카드,무제한으로 실천하는 기후동행,신용카드,주유_교통
American Express Blue Card,매일 쓰는 영역 할인으로 내 생활에 착붙!,신용카드,주유_교통
굿데이올림카드,매일 매일 기분 좋은 할인 혜택으로 더 풍요로운 생활!,신용카드,주유_교통
Easy pick카드,주요 생활 영역부터 내가 Pick한 영역까지 모두 적립 Easy!,신용카드,주유_교통
Easy auto 티타늄카드,주유·정비·생활·보험! Easy하게 적립을 타고 달리는 기분!,신용카드,주유_교통
TMAP KB국민카드,"이용은 간편하게, 할인은 넉넉하게!",신용카드,주유_교통
SK에너지 러브유 KB국민카드,평소에는 주유비 할인 받고! 주말에는 캠핑 즐기고!,신용카드,주유_교통
E1 LPG KB국민카드,E1 충전소 할인은 기본! 풍성한 혜택으로 생활에너지 충전!,신용카드,주유_교통
Our WE:SH 카드,함께 사는 '우리'를 위한 필수 카드,신용카드,교육_건강
골든라이프올림카드,더욱 든든해진 혜택으로 당신의 골든라이프를 응원합니다!,신용카드,교육_건강
KB손해보험 마이펫카드,금쪽같은 우리 아이들을 위한,신용카드,교육_건강
밀크T 카드,매월 학습비를 절약하는 방법!,신용카드,교육_건강
웅진씽크빅 카드,웅진씽크빅 요금 매월 할인 받는 방법!,신용카드,교육_건강
비상온리원 카드,비상온리원 요금 매월 할인 받는 방법!,신용카드,교육_건강
반려愛카드(강아지),반려동물을 사랑하는 마음. KB국민 반려애카드가 함께합니다!,신용카드,교육_건강
KB국민 펫코노미 카드,반려동물을 사랑하는 현명한 방법!,신용카드,교육_건강
보람상조 KB카드,보람상조 자동납부 요금 매월 할인받는 방법!,신용카드,교육_건강
Biz Prime 카드,Life & Biz를 위한 균형 있는 혜택,신용카드,전가맹점
WE:SH All+ 카드,모두를 위한 더 많은 혜택,신용카드,전가맹점
WE:SH All 카드,Simple Life를 위한 모두의 카드,신용카드,전가맹점
WE:SH Daily 카드,데일리 스탬프 모으면 늘어나는 혜택,신용카드,전가맹점
가온올림카드(실속형),"실적조건 없이 국내가맹점 적립, 해외가맹점 캐시백!",신용카드,전가맹점
The Easy카드,고민 없이 알아서 적립 Easy 할인 Easy,신용카드,전가맹점
마이핏카드(적립형),#간편결제 #택시 #편의점 #쇼핑 #배달,신용카드,전가맹점
KB Pay 챌린지카드,#간편결제 #택시 #편의점 #쇼핑 #배달,신용카드,전가맹점
KB Pay 챌린지+카드,,신용카드,전가맹점
toss KB국민카드,심플하고 쉽게 토스포인트 적립하는 방법!,신용카드,전가맹점
T-economy KB국민카드,SKT 통신요금을 알뜰하게 절약하는 방법!,신용카드,자동납부
Liiv M Ⅱ 카드,매월 Liiv M 통신비를 절약하는 방법!,신용카드,자동납부
코웨이Ⅱ 카드,코웨이 더블 혜택! 렌탈료 할인과 적립을 동시에!,신용카드,자동납부
SK매직 올림카드,"렌탈 요금, 스마트하게 할인 받고 영화·놀이공원 할인까지!",신용카드,자동납부
교원 웰스 KB국민카드,웰스로 건강한 습관 ! KB국민카드로 알뜰한 습관 !,신용카드,자동납부
청호나이스Ⅱ카드,렌탈 요금 매월 할인 받는 방법!,신용카드,자동납부
토스모바일 KB국민카드,통신요금 매월 할인 받는 방법!,신용카드,자동납부
Wavve 카드,Wavve 이용권 결제 할 땐 !,신용카드,자동납부
LG전자 KB국민카드,LG전자 베스트샵 가전제품 / 구독(렌탈)요금 할인!,신용카드,자동납부
쿠쿠렌탈Ⅱ카드,렌탈 요금 매월 할인 받는 방법!,신용카드,자동납부
세라젬 KB국민카드,렌탈 요금 매월 할인 받는 방법!,신용카드,자동납부
예다함 카드,품격있는 상조서비스를 KB로 만납니다.,신용카드,자동납부
딜라이브 카드,딜라이브 자동납부 요금 매월 할인 받는 방법!,신용카드,자동납부
알뜰폰 Hub Ⅱ 카드,알뜰폰 통신비를 더 알뜰하게 절약하는 방법!,신용카드,자동납부
